time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
1.300000000000000044e+00,1.996274904758887914e+01,4.994920907026332735e+00,4.994920907026961565e+00,-2.117673542405873743e-01,-4.314901968087495043e-02,-4.314901967706558789e-02
1.310000000000000053e+00,1.996233636998038108e+01,4.994838345546041225e+00,4.994838345546677161e+00,-2.127027981655933431e-01,-4.353422079684780149e-02,-4.353422079304460068e-02
1.320000000000000062e+00,1.996192369237188302e+01,4.994755784065749715e+00,4.994755784066392756e+00,-2.136382420905992841e-01,-4.391942191282065255e-02,-4.391942190902361348e-02
1.330000000000000071e+00,1.996151101476338496e+01,4.994673222585457317e+00,4.994673222586108352e+00,-2.145736860156052250e-01,-4.430462302879350361e-02,-4.430462302500262628e-02
1.340000000000000080e+00,1.996109833715488691e+01,4.994590661105165807e+00,4.994590661105823948e+00,-2.155091299406111938e-01,-4.468982414476635467e-02,-4.468982414098164602e-02
1.350000000000000089e+00,1.996068565954638885e+01,4.994508099624873410e+00,4.994508099625540432e+00,-2.164445738656171347e-01,-4.507502526073920573e-02,-4.507502525696065881e-02
1.360000000000000098e+00,1.996027298193789079e+01,4.994425538144581900e+00,4.994425538145256027e+00,-2.173800177906230757e-01,-4.546022637671205679e-02,-4.546022637293967161e-02
1.370000000000000107e+00,1.995986030432939273e+01,4.994342976664289502e+00,4.994342976664971623e+00,-2.183154617156290445e-01,-4.584542749268490786e-02,-4.584542748891868441e-02
1.380000000000000115e+00,1.995944762672089468e+01,4.994260415183997992e+00,4.994260415184687218e+00,-2.192509056406349854e-01,-4.623062860865775892e-02,-4.623062860489769721e-02
1.390000000000000124e+00,1.995903494911239662e+01,4.994177853703705594e+00,4.994177853704402814e+00,-2.201863495656409264e-01,-4.661582972463060998e-02,-4.661582972087671695e-02
1.400000000000000133e+00,1.995862227150389856e+01,4.994095292223414084e+00,4.994095292224118410e+00,-2.211217934906468952e-01,-4.700103084060346104e-02,-4.700103083685572974e-02
1.409999999999999920e+00,1.995820959389540050e+01,4.994012730743121686e+00,4.994012730743834005e+00,-2.220572374156528084e-01,-4.738623195657630516e-02,-4.738623195283472866e-02
1.419999999999999929e+00,1.995779691628690244e+01,4.993930169262830177e+00,4.993930169263549601e+00,-2.229926813406587771e-01,-4.777143307254915622e-02,-4.777143306881374840e-02
1.429999999999999938e+00,1.995738423867840439e+01,4.993847607782537779e+00,4.993847607783266085e+00,-2.239281252656647181e-01,-4.815663418852200728e-02,-4.815663418479276120e-02
1.439999999999999947e+00,1.995697156106990633e+01,4.993765046302246269e+00,4.993765046302981681e+00,-2.248635691906706868e-01,-4.854183530449485834e-02,-4.854183530077177400e-02
1.449999999999999956e+00,1.995655888346140827e+01,4.993682484821954759e+00,4.993682484822697276e+00,-2.257990131156766278e-01,-4.892703642046770940e-02,-4.892703641675079373e-02
1.459999999999999964e+00,1.995614620585291021e+01,4.993599923341662361e+00,4.993599923342412872e+00,-2.267344570406825688e-01,-4.931223753644056046e-02,-4.931223753272979959e-02
1.469999999999999973e+00,1.995573352824441216e+01,4.993517361861370851e+00,4.993517361862128467e+00,-2.276699009656885098e-01,-4.969743865241341152e-02,-4.969743864870881933e-02
1.479999999999999982e+00,1.995532085063591410e+01,4.993434800381078453e+00,4.993434800381844063e+00,-2.286053448906944785e-01,-5.008263976838626952e-02,-5.008263976468783213e-02
1.489999999999999991e+00,1.995490817302741604e+01,4.993352238900786944e+00,4.993352238901559659e+00,-2.295407888157004195e-01,-5.046784088435911364e-02,-5.046784088066684493e-02
1.500000000000000000e+00,1.995449549541891798e+01,4.993269677420494546e+00,4.993269677421275254e+00,-2.304762327407063882e-01,-5.085304200033197164e-02,-5.085304199664585773e-02
1.510000000000000009e+00,1.995408281781041993e+01,4.993187115940203036e+00,4.993187115940991738e+00,-2.314116766657123292e-01,-5.123824311630481576e-02,-5.123824311262487052e-02
