time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0.91,19.978143545127097,4.997744805225363,4.99774480522571,-0.17969662261529876,-0.027787202431919233,-0.027787202428303147,-0.2590949288558239,-0.20941018741845355,-0.20941018741303033
0.92,19.977801996104418,4.997702486225302,4.997702486225655,-0.18018375040662132,-0.02820685092056137,-0.028206850916907375,-0.2599722547467846,-0.20926852693963915,-0.20926852693510645
0.93,19.977460447081736,4.9976601672252405,4.997660167225599,-0.18067087819794386,-0.028626499409203504,-0.028626499405511603,-0.2608495806377452,-0.20912686646082476,-0.2091268664571826
0.9400000000000001,19.977118898059054,4.99761784822518,4.997617848225544,-0.1811580059892664,-0.029046147897845633,-0.029046147894115838,-0.26172690652870584,-0.20898520598201037,-0.2089852059792587
0.9500000000000001,19.97677734903637,4.997575529225118,4.9975755292254895,-0.18164513378058894,-0.029465796386487768,-0.029465796382720066,-0.26260423241966646,-0.20884354550319598,-0.20884354550133485
0.96,19.97643580001369,4.997533210225058,4.997533210225434,-0.18213226157191148,-0.02988544487512989,-0.029885444871324295,-0.2634815583106271,-0.20870188502438158,-0.208701885023411
0.97,19.97609425099101,4.997490891224996,4.997490891225379,-0.18261938936323402,-0.030305093363772025,-0.030305093359928523,-0.2643588842015877,-0.2085602245455672,-0.20856022454548712
0.98,19.97575270196833,4.997448572224935,4.9974485722253235,-0.18310651715455656,-0.03072474185241416,-0.03072474184853275,-0.26523621009254833,-0.2084185640667528,-0.20841856406756326
0.99,19.975411152945647,4.997406253224874,4.997406253225269,-0.1835936449458791,-0.03114439034105629,-0.03114439033713698,-0.266113535983509,-0.2082769035879384,-0.20827690358963938
1.0,19.975069603922964,4.997363934224813,4.997363934225214,-0.18408077273720164,-0.031564038829698424,-0.031564038825741214,-0.26699086187446963,-0.208135243109124,-0.20813524311171552
1.01,19.974716698235323,4.997315189954799,4.997315189955206,-0.1846394804154148,-0.03197818731766226,-0.03197818731367419,-0.26901963101705373,-0.2079288187360291,-0.20792881873936747
1.02,19.974304020626825,4.9972326284745066,4.997232628474921,-0.18557492434042078,-0.03236338843363512,-0.0323633884296532,-0.27710862779976125,-0.20738153176145777,-0.2073815317647869
1.03,19.973891343018327,4.997150066994215,4.997150066994637,-0.18651036826542672,-0.03274858954960797,-0.03274858954563222,-0.2851976245824688,-0.20683424478688642,-0.20683424479020635
1.04,19.97347866540983,4.997067505513923,4.9970675055143525,-0.1874458121904327,-0.03313379066558082,-0.033133790661611234,-0.2932866213651763,-0.2062869578123151,-0.20628695781562578
1.05,19.97306598780133,4.996984944033631,4.996984944034069,-0.18838125611543863,-0.033518991781553674,-0.03351899177759025,-0.30137561814788383,-0.20573967083774375,-0.20573967084104525
1.06,19.972653310192833,4.996902382553339,4.996902382553785,-0.18931670004044457,-0.033904192897526525,-0.03390419289356926,-0.3094646149305914,-0.20519238386317243,-0.20519238386646468
1.07,19.972240632584334,4.996819821073047,4.9968198210735,-0.19025214396545054,-0.034289394013499376,-0.03428939400954827,-0.31755361171329893,-0.20464509688860108,-0.20464509689188412
1.08,19.971827954975836,4.996737259592756,4.996737259593216,-0.19118758789045648,-0.03467459512947223,-0.034674595125527286,-0.32564260849600646,-0.20409780991402976,-0.20409780991730356
1.09,19.97141527736734,4.996654698112463,4.996654698112931,-0.19212303181546242,-0.03505979624544508,-0.035059796241506305,-0.333731605278714,-0.2035505229394584,-0.203550522942723
1.1,19.97100259975884,4.996572136632172,4.996572136632647,-0.1930584757404684,-0.03544499736141793,-0.03544499735748532,-0.3418206020614215,-0.2030032359648871,-0.20300323596814243
1.11,19.970589922150342,4.996489575151879,4.996489575152363,-0.19399391966547433,-0.03583019847739078,-0.03583019847346433,-0.34990959884412903,-0.20245594899031577,-0.20245594899356187
1.12,19.970177244541844,4.996407013671588,4.996407013672079,-0.19492936359048027,-0.03621539959336363,-0.036215399589443344,-0.35799859562683656,-0.20190866201574442,-0.2019086620189813
1.1300000000000001,19.969764566933346,4.9963244521912955,4.996324452191795,-0.19586480751548624,-0.03660060070933648,-0.036600600705422356,-0.36608759240954414,-0.2013613750411731,-0.20136137504440074
1.1400000000000001,19.969351889324848,4.996241890711004,4.99624189071151,-0.19680025144049218,-0.03698580182530933,-0.036985801821401376,-0.3741765891922516,-0.20081408806660175,-0.2008140880698202
